8,1744889,1.0
8,1395430,2.0
8,1205593,4.0
8,1488844,4.0
8,1447354,1.0
8,306466,4.0
8,1331154,4.0
8,1818178,3.0
8,991725,4.0
8,1987434,4.0
8,1765381,4.0
8,433803,3.0
8,1148143,2.0
8,1174811,5.0
8,1684516,3.0
8,754781,4.0
8,567025,4.0
8,1623132,4.0
8,1567095,3.0
8,1666394,5.0
8,622194,4.0
8,966375,4.0
8,116582,1.0
8,1646405,5.0
8,174868,2.0
8,327122,4.0
8,135348,2.0
8,944189,4.0
8,1041552,3.0
8,2459251,4.0
8,2327803,4.0
8,440723,2.0
8,1826612,2.0
8,1574266,1.0
8,2105990,4.0
8,1515871,1.0
8,1339724,3.0
8,2161899,3.0
8,46036,2.0
8,885929,2.0
443,247794,3.0
